
InputObject                                                                                    SideIndicator
-----------                                                                                    -------------
Line:186-> types of return expressions of the function `multi_int_return_func` must be same    =>
Line:197-> only lists and strings can be indexed                                               =>
Line:208-> types of return expressions of the function `multi_float_return_func` must be same  =>
Line:219-> only lists and strings can be indexed                                               =>
Line:230-> types of return expressions of the function `multi_bool_return_func` must be same   =>
Line:241-> only lists and strings can be indexed                                               =>
Line:256-> types of return expressions of the function `multi_string_return_func` must be same =>
Line:267-> only lists and strings can be indexed                                               =>
Line:278-> types of return expressions of the function `multi_fptr_return_func` must be same   =>
Line:289-> only lists and strings can be indexed                                               =>
Line:300-> types of return expressions of the function `multi_list_return_func` must be same   =>
Line:311-> only lists and strings can be indexed                                               =>
Line:347-> unsupported operand type for operator NOT                                           =>
Line:348-> only lists and strings can get pushed into                                          =>
Line:350-> type of `len` function argument must be list or string                              =>
Line:417-> only lists can be iterated over                                                     =>
Line:419-> only lists can be iterated over                                                     =>
Line:421-> only lists can be iterated over                                                     =>
Line:534-> type of `len` function argument must be list or string                              =>
Line:537-> type of `len` function argument must be list or string                              =>
Line:574-> type of `len` function argument must be list or string                              =>
Line:164-> types of return expressions of the pattern `different_return_type8` must be same    <=
Line:169-> types of return expressions of the pattern `different_return_type9` must be same    <=
#Line:653-> all elements of the list must have same type                                       <=
#Line:654-> all elements of the list must have same type                                       <=

